,0,1,2,3,4
52,arnab bjp,chiwkidar aakhir,bjp ka,0,0
53,0,0,0,0,0
54,rafaledeal darpokmodi,rafale is,darpokmodi nahi,rafale,nahi darpokrahul
55,anil ambani,ambani so,0,0,0
56,term abortion,abortion of,0,0,0
57,0,0,0,0,0
58,whitaker is,whitaker,edkrassen whitaker,0,0
59,fakenews fakenarratives,promote fakenews,0,0,0
60,caste hindus,this hindutva,0,0,0
61,mistakes,mistakes happen,rw mistake,0,0
62,0,0,0,0,0
63,guwahati black,massive protest,0,0,0
64,killed mig,mig 21,21 killed,0,0
65,national emergency,0,0,0,0
66,rahul questions,0,0,0,0
67,kapil sibbal,of kapil,kapil,0,0
68,sign bills,veto this,stupid bill,0,0
69,0,0,0,0,0
70,john dingell,twitter laureate,0,0,0
71,propaganda news,0,0,0,0
72,hapless cbi,cbi,cbi has,modi government,0
73,pappu dismay,0,0,0,0
74,bjp,0,0,0,0
75,the bjp4india,bjp4india this,bjp4india,0,0
76,0,0,0,0,0
77,0,0,0,0,0
78,mkraju gottalaff,gottalaff contempt,mkraju,0,0
79,editor rahulgandhi,gandhis narratives,0,0,0
80,bjp baseless,0,0,0,0
81,worldbank board,climate finance,worldbank,0,0
82,on infowars,infowars in,infowars,0,0
83,0,0,0,0,0
84,john dingell,0,0,0,0
85,0,0,0,0,0
86,haha bjp,bjp it,bjp,0,0
87,sexual harassment,0,0,0,0
88,rahulgandhi croplikethehindu,gandhi rahulgandhi,the hindu,0,0
89,0,0,0,0,0
90,rahul gandhi,gandhi wants,gandhi,rahul,0
91,hiding rafalescam,rafalescam is,rafalescam,0,0
92,0,0,0,0,0
93,john dingell,dingell passing,0,0,0
94,modi ji,khandani chor,scoundrel khandani,khandani,0
95,chaiwala pakdagayamodi,pakdagayamodi darpokmodi,darpokmodi rafaledeal,chaiwala,basic chaiwala
96,letter rahul,rahulliecaught these,rahul gandhi,rahulliecaught,gandhi
97,whitaker is,whitaker,matt whitaker,0,0
98,word anti,anti,0,0,0
99,0,0,0,0,0
100,rahul gandhi,what inspires,inspires people,gandhi,gandhi surprised
101,0,0,0,0,0
102,0,0,0,0,0
103,label bjp,bjp,bjp desh,pakdagayamodi,0
104,paying interns,interns are,house interns,interns some,interns
105,barbaraboxer subpoena,subpoena,subpoena his,0,0
106,car attacked,narela aap,0,0,0
107,many women,0,0,0,0
108,0,0,0,0,0
109,whitaker refuses,presidential pardon,whitaker,0,0
110,climate catastrophe,0,0,0,0
111,rahulgandhi journalists,priyanka,0,0,0
112,hating modi,0,0,0,0
113,modiâ visit,torchlight protest,0,0,0
114,gdpr cut,0,0,0,0
115,india youth,0,0,0,0
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,dems out,idiot dems,0,0,0
120,funded experiments,0,0,0,0
121,0,0,0,0,0
122,0,0,0,0,0
123,tavleen_singh it,tavleen_singh,0,0,0
124,cowardâ rahulgandhi,rahulgandhi attacks,0,0,0
125,rahul,rahulgandhi rahul,rahulgandhi,rahul is,oldhandhyd rahulgandhi
126,silence justiceforramalingam,justiceforramalingam,ka bjp,0,0
127,former congressman,congressman johndingell,acypl mourns,0,0
128,rafale deal,previous rafale,0,0,0
129,0,0,0,0,0
130,0,0,0,0,0
131,rafale scam,pakdagayamodi profited,rafale,to rafale,from rafale
132,join bjp,bjp amd,bjp,bhupendrachaube narendramodi,narendramodi bhupendra
133,proof jackets,0,0,0,0
134,modi macron,macron is,macron,0,0
135,congress delhi,mahilla congress,delhi mahilla,burari assembly,burari block
136,on dharna,dharna,dharna to,0,0
137,god kabir,0,0,0,0
138,joke whitakerhearing,congress is,whitakerhearing,0,0
139,thief pakdagayamodi,modi became,looting india,pakdagayamodi chowkidarchorhai,0
140,bjp defeat,0,0,0,0
141,0,0,0,0,0
142,hindu cropping,croplikethehindu,ðÿ croplikethehindu,pappu pic,croplikethehindu https
143,bjp face,vs bjp,0,0,0
144,0,0,0,0,0
145,pro modi,0,0,0,0
146,health continues,bjp leader,0,0,0
147,explains modi,modi low,0,0,0
148,0,0,0,0,0
149,rafale issue,0,0,0,0
150,hunger strike,0,0,0,0
151,investigators sanjay,sanjay bhandari,sanjay,0,0
152,brigade rally,0,0,0,0
153,bjp you,bjp,0,0,0
154,anil ambani,0,0,0,0
155,terrorist attacks,0,0,0,0
156,data kashmir,kashmir,kashmir is,indian liberal,0
157,indian economy,0,0,0,0
158,0,0,0,0,0
159,she testified,0,0,0,0
160,bjp rss,bjp,modi bjp,rahulgandhi modi,0
161,banned beef,bjp banned,slaughter ban,0,0
162,debbie lesko,0,0,0,0
163,indian negotiating,rafaledeal defence,0,0,0
164,bjp4india youth,bjp4india,from bjp4india,0,0
165,hal crashed,hal dies,died hal,pilots died,dies pilots
166,she testified,0,0,0,0
167,congress deadline,khashoggi killing,0,0,0
168,jeffbezos,jeff bezos,jeffbezos mean,bezos,0
169,quit politics,0,0,0,0
170,josh ðÿ,0,0,0,0
171,liar modi,gobackmodi tamilnadu,0,0,0
172,veterans tnwelcomesmodi,0,0,0,0
173,congress attacks,fake news,0,0,0
174,of bjp,bjp rule,bjp,0,0
175,gobackmodi defeat,game tamilans,tamilans will,0,0
176,narendra modi,tnwelcomesmodi dmkfails,0,0,0
177,modiji kickstarted,modiji,tnwelcomesmodi dmkfails,0,0
178,0,0,0,0,0
179,0,0,0,0,0
180,bihar dgp,new bihar,bihar,bjp reporting,0
181,you bjp,bjp you,bjp,tamil,tamil people
182,rss bjp,0,0,0,0
183,arunachal pradesh,arunachal,to arunachal,of arunachal,0
184,of asuras,dmk asuras,asuras,festivals diwali,asuras who
185,0,0,0,0,0
186,gobackmodi atrocities,protest gobackmodi2,0,0,0
187,india brahmins,brahmins rss_killed_mahatma,against brahmins,brahmins are,brahmins
188,modi bharath,gobackmodi is,0,0,0
189,blocked account,blocked accounts,bjp blocked,0,0
190,poverty tnwelcomesmodi,poor india,india stands,0,0
191,modi regime,0,0,0,0
192,upswan engineers,bjp government,bjp,0,0
193,0,0,0,0,0
194,0,0,0,0,0
195,pm modi,crores toilets,0,0,0
196,bjp blamed,dead bjp,mla shot,0,0
197,0,0,0,0,0
198,accidental insurance,insurance,insurance for,0,0
199,black economy,tirupur tnwelcomesmodi,0,0,0
200,miserable bharatbacksmodi,0,0,0,0
201,0,0,0,0,0
202,vardhan shringla,ambassador harsh,indian diaspora,ambassador,0
203,dying saffron,saffron party,0,0,0
204,red light,0,0,0,0
205,signed petition,0,0,0,0
206,veersavarkar coward,tnwelcomesmodi complaint,calling veersavarkar,0,0
207,deccanherald modi,rafale,it rafale,rafale haunts,haunts modi
208,rafalescam narendra,0,0,0,0
209,about yemen,starving yemeni,yemeni children,of yemengenocide,yemengenocide
210,poor modi,bye darpokmodi,darpokmodi,0,0
211,modiâ speech,0,0,0,0
212,accidental insurance,insurance,insurance for,0,0
213,0,0,0,0,0
214,bjp cows,support bjp,status andhra,andhra waiting,0
215,china condemns,0,0,0,0
216,tnccminority chairman,chairman janab,0,0,0
217,mayawati statues,mayawati,scam chanda,scam mamata,scam rahul
218,modi destroyed,destroyed india,now gobackmodi,gobackmodi,gobackmodi gobacksadistmodi
219,of sonia,sonia bar,sonia,0,0
220,mahatma mask,ban anything,0,0,0
221,modi govt,0,0,0,0
222,mudra loan,development mudra,0,0,0
223,insult hindus,hindus or,hindus,0,0
224,krishnaganj nadia,of krishnaganj,nadia killed,krishnaganj,how bjp4bengal
225,healthcare ease,business ease,0,0,0
226,congress stopthefcc,nationwide protests,protests happening,0,0
227,0,0,0,0,0
228,congress stopthefcc,stopthefcc take,stopthefcc,kill netneutrality,0
229,0,0,0,0,0
230,gandhi will,0,0,0,0
231,undermining rafale,rafale negotiations,the rafaledeal,defenceministry protested,rafale
232,fcc vote,the fcc,fcc,0,0
233,kamal,operation kamal,0,0,0
234,patel statue,patel,0,0,0
235,crores toilets,0,0,0,0
236,abolish tripletalaq,0,0,0,0
237,0,0,0,0,0
238,0,0,0,0,0
239,it sedition,sedition and,sedition,sedition isn,indian negotiating
240,govt anger,0,0,0,0
241,rahulgandhi blames,blames narendramodi,rahulgandhi rafaledeal,rahulgandhi,when rahulgandhi
242,modi haters,haters gobacksadistmodi,hai shayad,0,0
243,modi soga,soga must,soga,0,0
244,suspended constable,bjp4india suspended,criticising narendramodi,under bjp4india,0
245,crores could,pakistan crores,crores,100 rupees,rupees
246,gratuity bankers,providing gratuity,0,0,0
247,0,0,0,0,0
248,0,0,0,0,0
249,bjp ec,allow telangana,election commission,0,0
250,money 2016,black money,0,0,0
251,pay hush,hush money,0,0,0
252,youngest woman,alexandria ocasio,0,0,0
253,haathi ðÿ,no1 vow,kutte ðÿ,0,0
254,maoist insurgency,megalomaniac modi,ended maoist,2016 modi,modi inflicted
255,human trafficking,trafficking,trafficking is,0,0
256,bjp4india leader,another bjp4india,28 bjp4india,bjp4india,of bjp
257,fraud gandhis,0,0,0,0
258,impose dictatorship,dictatorship use,modi nationwantsnewpm,0,0
259,prime ministers,0,0,0,0
260,shah justiceforirshadranjhani,sindhi congress,0,0,0
261,modi forgot,0,0,0,0
262,prime ministers,0,0,0,0
263,pomonemodi gobackmodi,modi ji,more pomonemodi,pomonemodi,gobackmodi
264,twitter india,openly tweeting,twitter,suspend hindu,india employees
265,not crores,crores,0,0,0
266,scam mayawati,scam naidu,scam kejri,scam akhilesh,scam mamata
267,0,0,0,0,0
268,blackmailiung hindus,erasing hindutva,0,0,0
269,dmkfails tnwelcomesmodi,tnwelcomesmodi india,tamilnadu modijiðÿ,tnwelcomesmodi,to tamilnadu
270,hindu dmk,anti hindu,lesson tnwelcomesmodi,dmk should,hindu
271,obsession rahulgandhi,rahulgandhi is,rahulgandhi,than modi,0
272,bank mergers,sbi merger,merger nda,nda govt,dena banks
273,policies arun,modi government,0,0,0
274,stand lickers,shouting goback,0,0,0
275,tnwelcomesmodi tnwelcomesmodi,tnwelcomesmodi,tnwelcomesmodi we,0,0
276,modi gobackmodi,tn shame,gobackmodi,welcome modi,tn
277,exempts gpos,0,0,0,0
278,scam rahul,statues scam,scam vadra,scam mamata,scam tejashwi
279,of bjp,bjp personnel,bjp,mumbai_ngma intolerance,0
280,blames bjp,bjp,0,0,0
281,vyapamscam narendramodi,scam first,narendramodi tamizhisai3,0,0
282,hide sun,0,0,0,0
283,is jumla,jumla,promises are,promises,jumla if
284,udaan,girl students,0,0,0
285,0,0,0,0,0
286,raga teaser,biopic director,0,0,0
287,0,0,0,0,0
288,0,0,0,0,0
289,rafale scam,rafale prices,different rafale,rafale,0
290,assam and,assam,0,0,0
291,scams bjp,tnwelcomesmodi dmk,schemes dmkfails,dmkfails,dmk
292,tnwelcomesmodi maduraithanksmodi,maduraithanksmodi,tamilnadu tnwelcomesmodi,gobackmodi hashtag,entire tamilnadu
293,modi insurgency,insurgency is,insurgency,0,0
294,modi famous,darpokmodi gobackmodi,make modi,darpokmodi,no darpokmodi
295,0,0,0,0,0
296,bjp escalates,guwahati as,guwahati,0,0
297,indira gandhi,indira,0,0,0
298,0,0,0,0,0
299,bjp4india you,hey bjp4india,bjp4india,iniquity bjp,bjp4india hey
300,bjp gobackmodi,vote bjp,gobackmodi gobackmodi,gobackmodi,bjp
301,elections dmk,0,0,0,0
302,tamil fishermen,fishermen shot,fisherman casualty,srilankan navy,srilankan
303,crore rupees,xyz crore,crore,0,0
304,prime ministers,0,0,0,0
305,gobackmodi atrocities,massacre ðÿ,0,0,0
306,accuses chor,chor accuses,are chor,who chor,chowkidar sher
307,hating cybercoolies,modi hating,0,0,0
308,bjp regime,bjp,during bjp,indian pm,0
309,hating modi,modi fierce,modi,0,0
310,fake currency,gdp increased,currency gdp,demonetization,0
311,0,0,0,0,0
312,0,0,0,0,0
313,bjp killed,massacre bjp,claim bjp,bjp members,0
314,bjp,bengal,the bjp,bjp gets,from bengal
315,incorrect rahul,unreasonable rahul,rahul,rahul is,rahul as
316,chor hai,failed hai,rajnathsingh modi,modi chor,hai aap
317,gandhi is,rahul gandhi,gandhi,0,0
318,modi attacked,narendra modi,0,0,0
319,antisemites they,antisemites,are antisemites,0,0
320,aiimsmadurai,aiimsmadurai tnwelcomesmodi,maduraithanksmodi vaiko,maduraithanksmodi,tnwelcomesmodi maduraithanksmodi
321,these chaatoos,papa modi,lollipops of,lollipops,chaatoos
322,0,0,0,0,0
323,0,0,0,0,0
324,presidential harassment,congressional harassment,harassment,0,0
325,tnwelcomesmodi the,tnwelcomesmodi,0,0,0
326,rahul is,rahul,0,0,0
327,tnwelcomesmodi bjp4india,bjp4india drtamilisaibjp,modi ji,bjp4india,cleanse tamil
328,vijayan criticises,pinarayi vijayan,0,0,0
329,demonetization had,0,0,0,0
330,russia shock_therapy,shock_therapy_russia,shock_therapy shock_therapy_russia,shock_therapy_russia gobackmodi,shock therapy
331,rafale pricing,0,0,0,0
332,krishnaganj shot,shot dead,0,0,0
333,democracy bjp,west bengal,bjp is,bjp,0
334,healthy india,0,0,0,0
335,is scam,scams better,rafaledeal afterall,scam in,knows scams
336,udaan,girl students,0,0,0
337,princearihan christians,0,0,0,0
338,thiruttu rail,0,0,0,0
339,their tweets,tweets on,tweets related,twitterindia,however tweets
340,secure odisha,odisha,odisha is,0,0
341,modi did,congress failed,tnwelcomesmodi modiagain2019,0,0
342,indian tnwelcomesmodi,indian,real indian,south politics,0
343,warns twitter,bjp warns,modi will,0,0
344,0,0,0,0,0
345,aamirkhan fans,0,0,0,0
346,tamil nadu,tamil,nadu,in tamil,0
347,0,0,0,0,0
348,women safety,0,0,0,0
349,delhi police,bjp goons,of delhi,of bjp,0
350,operation muskaan,muskaan ii,missing children,muskaan,children missing
351,indian janta,janta will,ambani now,ambani,0
352,0,0,0,0,0
353,of reservation,reservation,dalits tribals,reservation in,0
354,0,0,0,0,0
355,0,0,0,0,0
356,india inflation,inflation records,inflation,0,0
357,tweets trends,twitterindia functions,how twitterindia,80 tweets,twitterindia
358,campaigning gobackmodi,unfortunately narendramodi,0,0,0
359,guntur vijayawada,vijayawada please,vijayawada,0,0
360,robber vada,0,0,0,0
361,nirbhaya rapists,rapist who,rapist,rapists asifa,rape accused
362,modi gobackmodi,hates modi,tn hates,gobackmodi,modi
363,modi hate,misskaul modi,twitterindia defiance,0,0
364,housing technology,global housing,build houses,0,0
365,bjp bhagao,0,0,0,0
366,operation muskaan,muskaan ii,missing children,muskaan,children missing
367,muzaffarnagar riots,the muzaffarnagar,muzaffarnagar,riots,riots of
368,congress whitaker,whitaker must,whitaker,0,0
369,crores toilets,0,0,0,0
370,daca students,our daca,daca,0,0
371,0,0,0,0,0
372,0,0,0,0,0
373,nws birthday,happybirthday nws,0,0,0
374,anti hindu,the_hindu,paper the_hindu,ramesh_bjp biharkalal,hindu paper
375,judges pakdagayamodi,0,0,0,0
376,fugitives brought,fugitives hiding,of fugitives,fugitives,0
377,modi violated,0,0,0,0
378,hindu hater,modi hindu,twitter india,0,0
379,nda stuff,nda,non nda,0,0
380,bjp4india narendramodi,rssorg bjp4india,bjp4india,present bjp,bjp govt
381,shameful inckliqchat,inckliqchat,0,0,0
382,dmk opposed,dmkfails students,0,0,0
383,protests await,andhrapradesh ndtv,andhrapradesh,in andhrapradesh,0
384,peacefuls are,the peacefuls,0,0,0
385,0,0,0,0,0
386,tnwelcomesmodi lalu,0,0,0,0
387,his speeches,speeches,speeches never,0,0
388,jalpaiguri didi,didi,didi wants,modi,modi in
389,0,0,0,0,0
390,delhi deeksha,on delhi,0,0,0
391,annapurna studios,next manmadhudu,manmadhudu tentative,manmadhudu,rahul ravindran
392,twitter pls,0,0,0,0
393,crops rispc,protecting crops,rispc for,plantation crops,rispc
394,theories gobackmodi,modi govt,baseless pseudo,0,0
395,0,0,0,0,0
396,delhi cm,is delhi,0,0,0
397,safety railways,railway safety,railways has,on railway,railways
398,against gandhi,0,0,0,0
399,0,0,0,0,0
400,insulted meenakshi,tnwelcomesmodi stalin,stalin insulted,0,0
401,housing technology,global housing,build houses,0,0
402,congress tnwelcomesmodi,tnwelcomesmodi is,0,0,0
403,chennai petroleum,manali refinery,chennai port,to chennai,0
404,prime ministers,0,0,0,0
405,realitywinnerâ mother,0,0,0,0
406,tirupur people,0,0,0,0
407,priyanka elect,re elect,modi,0,0
408,modiji kickstarted,modiji,tnwelcomesmodi dmkfails,0,0
409,chambers and,0,0,0,0
410,accidental insurance,insurance,insurance for,0,0
411,modi govt,cancelled jhankis,0,0,0
412,rafale lies,presidents rafale,0,0,0
413,crore rafale,rafale deal,0,0,0
414,0,0,0,0,0
415,fairfax accusers,kavanaugh who,kavanaugh,0,0
416,talk went,0,0,0,0
417,bjp goons,arvindkejriwal car,0,0,0
418,chanting azadi,0,0,0,0
419,bharatbacksmodi agartala,0,0,0,0
420,to arunachal,arunachal,0,0,0
421,gadkari as,about gadkari,gadkari,0,0
422,0,0,0,0,0
423,0,0,0,0,0
424,modi ji,0,0,0,0
425,bordercrisis fundthewall,0,0,0,0
426,politics cbn,brought cbn,cbn brought,cbn son,cbn is
427,bjp admk,dmk tnpolitics,tnpolitics tamilnadu,constituencies mkstalin,tamilnadu
428,karnataka greed,bjp offers,crores to,speaker bjp,of crores
429,mocking bjp,bjp,threatening babus,bjp with,0
430,whitaker testimony,whitaker,the whitaker,0,0
431,pm rahul,rahul rafale,rahul koi,nahi hai,die rahul
432,andhra who,rejected cong,0,0,0
433,congress protest,modi visit,modi go,visit modi,back slogan
434,0,0,0,0,0
435,back modi,modi,minister india,0,0
436,saraswati pujos,bengal bengalsaraswatipujo,bengalis to,bengal,bengalis
437,hindi haters,modi handshaking,tickle hindi,hindi,0
438,ravi pujari,pujari arrested,0,0,0
439,0,0,0,0,0
440,twitter khatarnak,khatarnak combo,0,0,0
441,congress jammu,youth congress,assembly constituency,0,0
442,karnataka,0,0,0,0
443,scam rahul,scam tejashwi,scam vadra,statues scam,scam mamata
444,bjp are,bigger hindu,0,0,0
445,blackflag protests,0,0,0,0
446,didibhaimodibhai saradha,mamata banerjee,didibhaimodibhai,banerjee and,bjp and
447,praises pakistan,pm khan,kashmir cm,pakistan pm,khan
448,russiagate propagandists,0,0,0,0
449,0,0,0,0,0
450,0,0,0,0,0
451,0,0,0,0,0
452,microsoft spent,microsoft went,congress microsoft,microsoft,0
453,kumbh ritual,ritual yogi,mughal tyranny,govt mughal,0
454,indian negotiating,0,0,0,0
455,modi ji,0,0,0,0
456,humpback whales,whales,whales are,0,0
457,breaking bjp,ujjain brutally,bjp,0,0
458,0,0,0,0,0
459,republic debate,have debates,twitterinsultsindia republic,0,0
460,cag sharma,sharma was,0,0,0
461,art ngma,0,0,0,0
462,phobia bjp,bjp stings,rafale phobia,gandhi,rahul gandhi
463,modi story,brother modi,modi,modi is,0
464,0,0,0,0,0
465,bjp4india when,bjp4india,will bjp,incindia bjp4india,bjp
466,satyajit biswas,satyajit was,mla satyajit,community satyajit,satyajit
467,0,0,0,0,0
468,bjp should,shiv sena,to bjp,bjp,0
469,pelosi should,pelosi,0,0,0
470,nra executive,the nra,breaking congress,nra,0
471,attacked cbi,cbi fled,bjp spos,sukma attacked,rapes cbi
472,syed modiâ,syed modi,modi syed,modiâ wife,0
473,narendera modi,chaiwala,yeh chaiwala,chaiwala and,modi as
474,maga_forever this,0,0,0,0
475,narendra modi,chandrababu naidu,0,0,0
476,girlfriend modi,crore girlfriend,sonia,sonia gandhi,against sonia
477,fake videos,sardesairajdeep indiatoday,0,0,0
478,village electrification,electrification numbers,0,0,0
479,twitter,to twitter,indeed twitter,0,0
480,gas price,0,0,0,0
481,opposition alliance,defeat modi,opposition parties,0,0
482,rahul interference,backfires rahulremotecharge,slams rahul,interference backfires,rahul
483,orangutans are,of orangutans,orangutans,to bjp,0
484,rahul gandhiâ,0,0,0,0
485,discredited economist,economist to,0,0,0
486,0,0,0,0,0
487,congress scams,scams of,gvlnrao bjp4india,0,0
488,ap bjp,bjp,bjp is,of bjp,bjp has
489,periyarists attacking,is beemji,beemji having,0,0
490,tamilisai when,tamilisai,with tamilisai,0,0
491,gdp improved,fiscal deficit,0,0,0
492,venezuela guaido,guaido,guaido is,invading venezuela,0
493,cannot fool,fool all,can fool,0,0
494,mr modi,prime minister,modi is,modi,political minister
495,0,0,0,0,0
496,bjp and,mention bjp,muslim league,bjp,0
497,modiâ twitter,0,0,0,0
498,joinied bjp,0,0,0,0
499,kerala bjp,tn bjp,bjp out,bjp it,bjp
500,feminism is,0,0,0,0
501,alliance what,alliance,0,0,0
502,bjp mp,0,0,0,0
503,bjp modi,demonetisation gst,what bjp,bjp,0
504,1974 nixon,nixon was,nixon,0,0
505,0,0,0,0,0
506,0,0,0,0,0
507,blaming bjp,satyajit biswas,0,0,0
508,blames bjp,0,0,0,0
509,angry protesting,modi modidestroysnortheast,protesting,protesting against,0
510,majbootâ govt,bjp4gujarat bjp4india,bjp4gujarat,bjp4india,majboor
511,india modi,modi arrived,in guwahati,guwahati,0
512,0,0,0,0,0
513,modi who,ant died,ant death,modi is,0
514,0,0,0,0,0
515,bjp out,bjp it,threw bjp,bjp,bjp is
516,seen rupee,rs15 lakhs,0,0,0
517,modi tamil,nadu welcomes,tamil,tnwelcomesmodi,you tnwelcomesmodi
518,trapped bjp,how sharanagouda,bjp bigwig,sharanagouda,sharanagouda young
519,0,0,0,0,0
520,bjp4india namo,insulting bjp4india,0,0,0
521,of modi,modi,0,0,0
522,betrayed ap,government gobackmodi,0,0,0
523,betrayed modi,narendramodi naidu,0,0,0
524,congress room,she bodied,0,0,0
525,0,0,0,0,0
526,liarrahul claimed,liarrahulâ lies,fact liarrahulâ,0,0
527,southindiafornamo is,indians southindiafornamo,gobackmodi is,southindiafornamo,cheated andhra
528,limit amendment,0,0,0,0
529,0,0,0,0,0
530,karnataka protests,0,0,0,0
531,scam pic,agustawestland scam,0,0,0
532,gobackmodi is,gobackmodi,tnwelcomesmodi,0,0
533,parliament summons,summons,0,0,0
534,mumbai blast,0,0,0,0
535,bjp dosti,ycp bjp,drama gobackmodi,0,0
536,now bjp,bjp is,bjp can,bjp,0
537,satyajit biswas,biswas mla,0,0,0
538,we andhra,andhra,bjp turn,andhra people,0
539,modi trend,0,0,0,0
540,gandhi shouting,mrsgandhi gobackmodi,gandhi,the gandhi,rahul gandhi
541,youths modi,0,0,0,0
542,0,0,0,0,0
543,mukt bharat,congress mukt,said congress,gandhi desire,modi said
544,caravan intercepted,0,0,0,0
545,0,0,0,0,0
546,modi loses,0,0,0,0
547,gurugram bjp,0,0,0,0
548,deadline lawmakers,government shutdown,0,0,0
549,rafale scam,rafalescam investigation,0,0,0
550,karnataka greed,speaker bjp,bjp offers,crores to,of crores
551,bjp4india as,bjp4india,bjp is,like bjp4india,bjp
552,in bjp,bjp,bjp on,madhukishwar she,nsitharaman who
553,mumbai attacks,blamed rss,0,0,0
554,khashoggi killing,on khashoggi,pompeo updated,khashoggi,updated congress
555,didi plan,0,0,0,0
556,0,0,0,0,0
557,0,0,0,0,0
558,0,0,0,0,0
559,0,0,0,0,0
560,assam accord,the assam,assam,0,0
561,0,0,0,0,0
562,0,0,0,0,0
563,modi government,the modi,modi,0,0
564,0,0,0,0,0
565,0,0,0,0,0
566,rahul gandhi,gandhi,gandhi is,pseudologia fantastica,mythomania falsification
567,modi spent,spent indian,mr modi,indian money,indian pm
568,raise slogan,vote newgurugram,slogan no,slogan,bjpmission2019 narendramodi
569,bjp4india broke,doors bjp4india,apdharmaporatam modimukthbharath,bjp4india,gyaan session
570,quitting alliance,bjp ally,joining mayawati,alliance joining,0
571,modi hugged,0,0,0,0
572,of visakhapatnam,visakhapatnam as,visakhapatnam,railway zone,0
573,0,0,0,0,0
574,mocks arunachal,arunachal pradesh,arunachal,pradesh culture,national heraldâ
575,of visakhapatnam,visakhapatnam as,visakhapatnam,apdharmaporatam chandrababunaidu,ap bjp
576,0,0,0,0,0
577,0,0,0,0,0
578,wall talks,border wall,talks stall,0,0
579,0,0,0,0,0
580,modi chandrababu,bhagwan modi,naidu modi,chandrababu naidu,hai modi
581,rahulkabaapchorhai pappu,0,0,0,0
582,citizen bjp,rule india,0,0,0
583,elected pm,modi was,corruption clause,œanti corruption,0
584,should priyankagandhi,priyankagandhi fight,varanasi panelists,0,0
585,vote aap,defeat bjp,bjp,0,0
586,chorchowkidar modi,anil ambani,ambani to,0,0
587,insults modi,modi hurled,0,0,0
588,priyanka vadra,vadra,narendra modi,accompanies priyanka,0
589,rafale is,rafale,biggest scam,kerala congress,0
590,frauds hindus,of kerala,kerala,kerala lands,hindus
591,narendra modi,singh attacked,0,0,0
592,0,0,0,0,0
593,spokesperson bjp,bjp naidustagesplurge,0,0,0
594,ilhan omar,0,0,0,0
595,invite bjp,bjp part,bjp,0,0
596,0,0,0,0,0
597,bjp cagrafalereport,spokesperson bjp,bjp,attacking substantive,0
598,buzzpatterson enemy,0,0,0,0
599,ilhan omar,about jews,0,0,0
600,0,0,0,0,0
601,bribe mlaâ,0,0,0,0
602,bjp mahapurush,corruption mukt,mahapurush gave,gave corruption,bjp
603,modi signing,priyankauproadshow modi,0,0,0
604,pradesh gobackmodi,0,0,0,0
605,gobackmodi atrocities,protest gobackmodi2,0,0,0
606,rahul,rahul wants,what rahul,0,0
607,modi incompetence,indian economy,economy wrecked,0,0
608,bjp called,attitude bjp,bjp,0,0
609,0,0,0,0,0
610,modi has,of modi,oppositioncrooks modi,modi,0
611,namoyuva volunteer,become namoyuva,namoyuva,modi mission,0
612,weak congress,0,0,0,0
613,bjp should,and bjp,kerala they,0,0
